  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.00	+0.00000000e+00	+0.00000000e+00	+2.00000000e-01	+0.00000000e+00	+0.000000e+00
  0.01	+3.45358208e-06	+8.28844435e-02	+1.99994241e-01	-1.38211212e-01	+5.000000e+00
  0.02	+8.35697211e-04	+1.64463633e-01	+1.98606500e-01	-2.73294891e-01	+5.000000e+00
  0.03	+2.48368070e-03	+2.44794130e-01	+1.95868033e-01	-4.05727789e-01	+5.000000e+00
  0.04	+4.93491937e-03	+3.23929805e-01	+1.91805329e-01	-5.35969082e-01	+5.000000e+00
  0.05	+8.17746715e-03	+4.01921850e-01	+1.86440284e-01	-6.64461243e-01	+5.000000e+00
  0.06	+1.21998897e-02	+4.78818793e-01	+1.79790373e-01	-7.91630935e-01	+5.000000e+00
  0.07	+1.69912380e-02	+5.54666515e-01	+1.71868802e-01	-9.17889851e-01	+5.000000e+00
  0.08	+2.25410216e-02	+6.29508236e-01	+1.62684665e-01	-1.04363547e+00	+5.000000e+00
  0.09	+2.88391822e-02	+7.03384487e-01	+1.52243076e-01	-1.16925167e+00	+5.000000e+00
  0.10	+3.58760667e-02	+7.76333031e-01	+1.40545315e-01	-1.29510921e+00	+5.000000e+00
  0.11	+4.36423993e-02	+8.48388755e-01	+1.27588954e-01	-1.42156597e+00	+5.000000e+00
  0.12	+5.21292534e-02	+9.19583496e-01	+1.13367986e-01	-1.54896704e+00	+5.000000e+00
  0.13	+6.13280201e-02	+9.89945821e-01	+9.78729542e-02	-1.67764446e+00	+5.000000e+00
  0.14	+7.12303765e-02	+1.05950073e+00	+8.10910817e-02	-1.80791674e+00	+5.000000e+00
  0.15	+8.18210142e-02	+9.54630458e-01	+6.30225498e-02	-1.55267263e+00	-5.000000e+00
  0.16	+9.13657148e-02	+9.16136558e-01	+4.75001076e-02	-1.44986065e+00	-1.285907e+00
  0.17	+1.00523985e-01	+8.41841682e-01	+3.30089737e-02	-1.27052565e+00	-3.394283e+00
  0.18	+1.08940738e-01	+8.01928876e-01	+2.03078419e-02	-1.17154051e+00	-1.496252e+00
  0.19	+1.16957564e-01	+7.42803942e-01	+8.59823018e-03	-1.03250602e+00	-2.649731e+00
  0.20	+1.24384003e-01	+7.04397645e-01	-1.72308641e-03	-9.42664455e-01	-1.523215e+00
  0.21	+1.31425958e-01	+6.55886487e-01	-1.11451464e-02	-8.32639348e-01	-2.149829e+00
  0.22	+1.37983335e-01	+6.20194164e-01	-1.94682461e-02	-7.53594443e-01	-1.466446e+00
  0.23	+1.44183581e-01	+5.79478025e-01	-2.70005113e-02	-6.65295470e-01	-1.796691e+00
  0.24	+1.49977003e-01	+5.46903079e-01	-3.36506224e-02	-5.97053147e-01	-1.373525e+00
  0.25	+1.55444585e-01	+5.12130026e-01	-3.96181723e-02	-5.25498669e-01	-1.536813e+00
  0.26	+1.60564659e-01	+4.82683348e-01	-4.48707348e-02	-4.67322003e-01	-1.268539e+00
  0.27	+1.65390238e-01	+4.52578686e-01	-4.95415227e-02	-4.08952757e-01	-1.338942e+00
  0.28	+1.69914921e-01	+4.26082076e-01	-5.36290022e-02	-3.59801778e-01	-1.163862e+00
