  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.00	+0.00000000e+00	+0.00000000e+00	+1.00000000e-02	+0.00000000e+00	+0.000000e+00
  0.01	-7.37599199e-09	-1.77020109e-04	+1.00001080e-02	+2.59217025e-03	+0.000000e+00
  0.02	-1.78482100e-06	-3.50870924e-04	+1.00261372e-02	+5.17228880e-03	+0.000000e+00
  0.03	-5.30066333e-06	-5.22062568e-04	+1.00779674e-02	+7.74721250e-03	+0.000000e+00
  0.04	-1.05283321e-05	-6.91093994e-04	+1.01555469e-02	+1.03237336e-02	+0.000000e+00
  0.05	-1.74462454e-05	-8.58454373e-04	+1.02588919e-02	+1.29085981e-02	+0.000000e+00
  0.06	-2.60377129e-05	-1.02462445e-03	+1.03880862e-02	+1.55085236e-02	+0.000000e+00
  0.07	-3.62908514e-05	-1.19007789e-03	+1.05432807e-02	+1.81302174e-02	+0.000000e+00
  0.08	-4.81985138e-05	-1.35528254e-03	+1.07246933e-02	+2.07803940e-02	+0.000000e+00
  0.09	-6.17582316e-05	-1.52070171e-03	+1.09326091e-02	+2.34657927e-02	+0.000000e+00
  0.10	-7.69721693e-05	-1.68679546e-03	+1.11673807e-02	+2.61931950e-02	+0.000000e+00
  0.11	-9.38470916e-05	-1.85402178e-03	+1.14294283e-02	+2.89694422e-02	+0.000000e+00
  0.12	-1.12394343e-04	-2.02283783e-03	+1.17192407e-02	+3.18014527e-02	+0.000000e+00
  0.13	-1.32629841e-04	-2.19370115e-03	+1.20373759e-02	+3.46962399e-02	+0.000000e+00
  0.14	-1.54574076e-04	-2.36707082e-03	+1.23844618e-02	+3.76609294e-02	+0.000000e+00
  0.15	-1.78252131e-04	-2.54340871e-03	+1.27611978e-02	+4.07027771e-02	+0.000000e+00
  0.16	-2.03693709e-04	-2.72318059e-03	+1.31683559e-02	+4.38291874e-02	+0.000000e+00
  0.17	-2.30933168e-04	-2.90685739e-03	+1.36067818e-02	+4.70477310e-02	+0.000000e+00
  0.18	-2.60009577e-04	-3.09491633e-03	+1.40773974e-02	+5.03661640e-02	+0.000000e+00
  0.19	-2.90966779e-04	-3.28784213e-03	+1.45812018e-02	+5.37924465e-02	+0.000000e+00
  0.20	-3.23853462e-04	-3.48612825e-03	+1.51192739e-02	+5.73347619e-02	+0.000000e+00
  0.21	-3.58723250e-04	-3.69027803e-03	+1.56927743e-02	+6.10015367e-02	+0.000000e+00
  0.22	-3.95634802e-04	-3.90080598e-03	+1.63029479e-02	+6.48014607e-02	+0.000000e+00
  0.23	-4.34651921e-04	-4.11823899e-03	+1.69511268e-02	+6.87435079e-02	+0.000000e+00
  0.24	-4.75843681e-04	-4.34311762e-03	+1.76387324e-02	+7.28369573e-02	+0.000000e+00
  0.25	-5.19284560e-04	-4.57599734e-03	+1.83672793e-02	+7.70914155e-02	+0.000000e+00
  0.26	-5.65054593e-04	-4.81744987e-03	+1.91383778e-02	+8.15168387e-02	+0.000000e+00
  0.27	-6.13239534e-04	-5.06806450e-03	+1.99537381e-02	+8.61235564e-02	+0.000000e+00
  0.28	-6.63931027e-04	-5.32844945e-03	+2.08151736e-02	+9.09222953e-02	+0.000000e+00
  0.29	-7.17226804e-04	-5.59923327e-03	+2.17246050e-02	+9.59242043e-02	+0.000000e+00
  0.30	-7.73230879e-04	-5.88106626e-03	+2.26840644e-02	+1.01140880e-01	+0.000000e+00
  0.31	-8.32053773e-04	-6.17462192e-03	+2.36957000e-02	+1.06584394e-01	+0.000000e+00
  0.32	-8.93812740e-04	-6.48059843e-03	+2.47617807e-02	+1.12267321e-01	+0.000000e+00
  0.33	-9.58632021e-04	-6.79972024e-03	+2.58847012e-02	+1.18202765e-01	+0.000000e+00
  0.34	-1.02664310e-03	-7.13273955e-03	+2.70669872e-02	+1.24404392e-01	+0.000000e+00
  0.35	-1.09798498e-03	-7.48043802e-03	+2.83113012e-02	+1.30886461e-01	+0.000000e+00
  0.36	-1.17280449e-03	-7.84362832e-03	+2.96204482e-02	+1.37663854e-01	+0.000000e+00
  0.37	-1.25125659e-03	-8.22315590e-03	+3.09973821e-02	+1.44752110e-01	+0.000000e+00
  0.38	-1.33350468e-03	-8.61990069e-03	+3.24452121e-02	+1.52167463e-01	+0.000000e+00
  0.39	-1.41972097e-03	-9.03477885e-03	+3.39672101e-02	+1.59926874e-01	+0.000000e+00
  0.40	-1.51008684e-03	-9.46874461e-03	+3.55668172e-02	+1.68048072e-01	+0.000000e+00
  0.41	-1.60479320e-03	-9.92279211e-03	+3.72476521e-02	+1.76549590e-01	+0.000000e+00
  0.42	-1.70404092e-03	-1.03979572e-02	+3.90135189e-02	+1.85450808e-01	+0.000000e+00
  0.43	-1.80804122e-03	-1.08953196e-02	+4.08684153e-02	+1.94771997e-01	+0.000000e+00
  0.44	-1.91701611e-03	-1.14160044e-02	+4.28165420e-02	+2.04534359e-01	+0.000000e+00
  0.45	-2.03119887e-03	-1.19611844e-02	+4.48623116e-02	+2.14760075e-01	+0.000000e+00
  0.46	-2.15083449e-03	-1.25320818e-02	+4.70103587e-02	+2.25472354e-01	+0.000000e+00
  0.47	-2.27618022e-03	-1.31299703e-02	+4.92655499e-02	+2.36695481e-01	+0.000000e+00
  0.48	-2.40750602e-03	-1.37561771e-02	+5.16329946e-02	+2.48454867e-01	+0.000000e+00
  0.49	-2.54509512e-03	-1.44120845e-02	+5.41180567e-02	+2.60777105e-01	+0.000000e+00
  0.50	-2.68924459e-03	-1.50991320e-02	+5.67263658e-02	+2.73690025e-01	+0.000000e+00
  0.51	-2.84026589e-03	-1.58188180e-02	+5.94638298e-02	+2.87222747e-01	+0.000000e+00
  0.52	-2.99848548e-03	-1.65727014e-02	+6.23366482e-02	+3.01405746e-01	+0.000000e+00
  0.53	-3.16424540e-03	-1.73624034e-02	+6.53513250e-02	+3.16270911e-01	+0.000000e+00
  0.54	-3.33790390e-03	-1.81896086e-02	+6.85146833e-02	+3.31851604e-01	+0.000000e+00
  0.55	-3.51983608e-03	-1.90560661e-02	+7.18338798e-02	+3.48182730e-01	+0.000000e+00
  0.56	-3.71043455e-03	-1.99635909e-02	+7.53164203e-02	+3.65300804e-01	+0.000000e+00
  0.57	-3.91011006e-03	-2.09140640e-02	+7.89701759e-02	+3.83244012e-01	+0.000000e+00
  0.58	-4.11929218e-03	-2.19094326e-02	+8.28033997e-02	+4.02052290e-01	+0.000000e+00
  0.59	-4.33842993e-03	-2.29517102e-02	+8.68247440e-02	+4.21767389e-01	+0.000000e+00
  0.60	-4.56799250e-03	-2.40429754e-02	+9.10432789e-02	+4.42432950e-01	+0.000000e+00
  0.61	-4.80846985e-03	-2.51853708e-02	+9.54685109e-02	+4.64094576e-01	+0.000000e+00
  0.62	-5.06037337e-03	-2.63811001e-02	+1.00110403e-01	+4.86799906e-01	+0.000000e+00
  0.63	-5.32423651e-03	-2.76324256e-02	+1.04979393e-01	+5.10598690e-01	+0.000000e+00
  0.64	-5.60061532e-03	-2.89416634e-02	+1.10086419e-01	+5.35542858e-01	+0.000000e+00
  0.65	-5.89008901e-03	-3.03111779e-02	+1.15442937e-01	+5.61686601e-01	+0.000000e+00
  0.66	-6.19326046e-03	-3.17433749e-02	+1.21060945e-01	+5.89086434e-01	+0.000000e+00
