  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.00	+0.00000000e+00	+0.00000000e+00	+3.14000000e+00	+0.00000000e+00	+0.000000e+00
  0.01	-1.44754903e-06	-3.47405284e-02	+3.13999677e+00	-7.74167878e-02	-2.000000e+00
  0.02	-3.50277227e-04	-6.89253363e-02	+3.13921944e+00	-1.53438702e-01	-2.000000e+00
  0.03	-1.04093163e-03	-1.02549584e-01	+3.13768195e+00	-2.27887507e-01	-2.000000e+00
  0.04	-2.06780496e-03	-1.35608710e-01	+3.13540005e+00	-3.00588879e-01	-2.000000e+00
  0.05	-3.42524582e-03	-1.68098408e-01	+3.13239121e+00	-3.71372624e-01	-2.000000e+00
  0.06	-5.10755978e-03	-2.00014608e-01	+3.12867462e+00	-4.40072930e-01	-2.000000e+00
  0.07	-7.10901167e-03	-2.31353475e-01	+3.12427112e+00	-5.06528664e-01	-2.000000e+00
  0.08	-9.42382803e-03	-2.62111415e-01	+3.11920316e+00	-5.70583708e-01	-2.000000e+00
  0.09	-1.20461994e-02	-2.92285100e-01	+3.11349476e+00	-6.32087334e-01	-2.000000e+00
  0.10	-1.49702832e-02	-3.21871493e-01	+3.10717144e+00	-6.90894625e-01	-2.000000e+00
  0.11	-1.81902064e-02	-3.50867898e-01	+3.10026016e+00	-7.46866920e-01	-2.000000e+00
  0.12	-2.17000689e-02	-3.79272007e-01	+3.09278928e+00	-7.99872304e-01	-2.000000e+00
  0.13	-2.54939477e-02	-4.07081963e-01	+3.08478848e+00	-8.49786106e-01	-2.000000e+00
  0.14	-2.95659013e-02	-4.34296430e-01	+3.07628867e+00	-8.96491423e-01	-2.000000e+00
  0.15	-3.39099748e-02	-4.60914663e-01	+3.06732195e+00	-9.39879649e-01	-2.000000e+00
  0.16	-3.85202057e-02	-4.86936583e-01	+3.05792149e+00	-9.79851002e-01	-2.000000e+00
  0.17	-4.33906310e-02	-5.12362856e-01	+3.04812146e+00	-1.01631503e+00	-2.000000e+00
  0.18	-4.85152942e-02	-5.37194959e-01	+3.03795694e+00	-1.04919112e+00	-2.000000e+00
  0.19	-5.38882538e-02	-5.61435257e-01	+3.02746381e+00	-1.07840892e+00	-2.000000e+00
  0.20	-5.95035919e-02	-5.85087057e-01	+3.01667866e+00	-1.10390877e+00	-2.000000e+00
  0.21	-6.53554237e-02	-6.08154667e-01	+3.00563867e+00	-1.12564206e+00	-2.000000e+00
  0.22	-7.14379074e-02	-6.30643429e-01	+2.99438150e+00	-1.14357149e+00	-2.000000e+00
  0.23	-7.77452549e-02	-6.52559753e-01	+2.98294519e+00	-1.15767135e+00	-2.000000e+00
  0.24	-8.42717421e-02	-6.73911127e-01	+2.97136805e+00	-1.16792757e+00	-2.000000e+00
  0.25	-9.10117198e-02	-6.94706116e-01	+2.95968851e+00	-1.17433786e+00	-2.000000e+00
  0.26	-9.79596247e-02	-7.14954342e-01	+2.94794502e+00	-1.17691163e+00	-2.000000e+00
  0.27	-1.05109989e-01	-7.34666454e-01	+2.93617596e+00	-1.17566991e+00	-2.000000e+00
  0.28	-1.12457454e-01	-7.53854075e-01	+2.92441947e+00	-1.17064513e+00	-2.000000e+00
  0.29	-1.19996772e-01	-7.72529736e-01	+2.91271338e+00	-1.16188085e+00	-2.000000e+00
  0.30	-1.27722827e-01	-7.90706802e-01	+2.90109509e+00	-1.14943142e+00	-2.000000e+00
  0.31	-1.35630632e-01	-8.08399381e-01	+2.88960145e+00	-1.13336154e+00	-2.000000e+00
  0.32	-1.43715344e-01	-8.25622224e-01	+2.87826865e+00	-1.11374578e+00	-2.000000e+00
  0.33	-1.51972265e-01	-8.42390617e-01	+2.86713215e+00	-1.09066806e+00	-2.000000e+00
  0.34	-1.60396851e-01	-8.58720270e-01	+2.85622658e+00	-1.06422108e+00	-2.000000e+00
  0.35	-1.68984717e-01	-8.74627199e-01	+2.84558560e+00	-1.03450569e+00	-2.000000e+00
  0.36	-1.77731635e-01	-8.90127613e-01	+2.83524192e+00	-1.00163030e+00	-2.000000e+00
  0.37	-1.86633541e-01	-9.05237798e-01	+2.82522711e+00	-9.65710191e-01	-2.000000e+00
  0.38	-1.95686533e-01	-9.19974006e-01	+2.81557163e+00	-9.26866952e-01	-2.000000e+00
  0.39	-2.04886872e-01	-9.34352354e-01	+2.80630469e+00	-8.85227796e-01	-2.000000e+00
  0.40	-2.14230980e-01	-9.48388724e-01	+2.79745426e+00	-8.40924969e-01	-2.000000e+00
  0.41	-2.23715439e-01	-9.62098681e-01	+2.78904696e+00	-7.94095164e-01	-2.000000e+00
  0.42	-2.33336984e-01	-9.75497394e-01	+2.78110806e+00	-7.44878957e-01	-2.000000e+00
  0.43	-2.43092504e-01	-9.88599574e-01	+2.77366141e+00	-6.93420285e-01	-2.000000e+00
  0.44	-2.52979034e-01	-1.00141942e+00	+2.76672944e+00	-6.39865960e-01	-2.000000e+00
  0.45	-2.62993751e-01	-1.01397059e+00	+2.76033310e+00	-5.84365217e-01	-2.000000e+00
  0.46	-2.73133969e-01	-1.02626616e+00	+2.75449183e+00	-5.27069312e-01	-2.000000e+00
  0.47	-2.83397133e-01	-1.03831863e+00	+2.74922359e+00	-4.68131156e-01	-2.000000e+00
  0.48	-2.93780812e-01	-1.05013989e+00	+2.74454480e+00	-4.07704987e-01	-2.000000e+00
  0.49	-3.04282694e-01	-1.06174128e+00	+2.74047032e+00	-3.45946091e-01	-2.000000e+00
  0.50	-3.14900582e-01	-1.07313359e+00	+2.73701348e+00	-2.83010549e-01	-2.000000e+00
  0.51	-3.25632384e-01	-1.08432706e+00	+2.73418604e+00	-2.19055027e-01	-2.000000e+00
  0.52	-3.36476113e-01	-1.09533147e+00	+2.73199819e+00	-1.54236593e-01	-2.000000e+00
  0.53	-3.47429879e-01	-1.10615618e+00	+2.73045856e+00	-8.87125680e-02	-2.000000e+00
  0.54	-3.58491884e-01	-1.11681015e+00	+2.72957418e+00	-2.26403904e-02	-2.000000e+00
  0.55	-3.69660423e-01	-1.12730206e+00	+2.72935055e+00	+4.38224879e-02	-2.000000e+00
  0.56	-3.80933874e-01	-1.13764031e+00	+2.72979155e+00	+1.10518696e-01	-2.000000e+00
  0.57	-3.92310702e-01	-1.14783315e+00	+2.73089952e+00	+1.77291027e-01	-2.000000e+00
  0.58	-4.03789453e-01	-1.15788868e+00	+2.73267521e+00	+2.43982511e-01	-2.000000e+00
  0.59	-4.15368753e-01	-1.16781499e+00	+2.73511781e+00	+3.10436486e-01	-2.000000e+00
  0.60	-4.27047312e-01	-1.17762017e+00	+2.73822492e+00	+3.76496680e-01	-2.000000e+00
  0.61	-4.38823917e-01	-1.18731240e+00	+2.74199262e+00	+4.42007284e-01	-2.000000e+00
  0.62	-4.50697441e-01	-1.19690000e+00	+2.74641539e+00	+5.06813052e-01	-2.000000e+00
  0.63	-4.62664014e-01	-1.13866501e+00	+2.75149202e+00	+7.10681779e-01	+2.000000e+00
  0.64	-4.74048274e-01	-1.08129867e+00	+2.75860721e+00	+9.11580382e-01	+2.000000e+00
  0.65	-4.84858906e-01	-1.02478100e+00	+2.76773125e+00	+1.10922487e+00	+2.000000e+00
  0.66	-4.95104396e-01	-9.69098252e-01	+2.77883158e+00	+1.30331108e+00	+2.000000e+00
  0.67	-5.04793092e-01	-9.14243817e-01	+2.79187262e+00	+1.49351165e+00	+2.000000e+00
  0.68	-5.13933280e-01	-8.60218982e-01	+2.80681548e+00	+1.67947336e+00	+2.000000e+00
  0.69	-5.22533253e-01	-8.07033536e-01	+2.82361777e+00	+1.86081525e+00	+2.000000e+00
  0.70	-5.30601408e-01	-7.54706188e-01	+2.84223327e+00	+2.03712732e+00	+2.000000e+00
  0.71	-5.38146327e-01	-7.03264778e-01	+2.86261166e+00	+2.20797015e+00	+2.000000e+00
  0.72	-5.45176869e-01	-6.52746240e-01	+2.88469824e+00	+2.37287551e+00	+2.000000e+00
  0.73	-5.51702267e-01	-6.03196277e-01	+2.90843360e+00	+2.53134804e+00	+2.000000e+00
  0.74	-5.57732208e-01	-5.54668729e-01	+2.93375339e+00	+2.68286839e+00	+2.000000e+00
  0.75	-5.63276918e-01	-5.07224592e-01	+2.96058807e+00	+2.82689765e+00	+2.000000e+00
  0.76	-5.68347235e-01	-4.60930677e-01	+2.98886272e+00	+2.96288341e+00	+2.000000e+00
  0.77	-5.72954664e-01	-4.15857906e-01	+3.01849686e+00	+3.09026733e+00	+2.000000e+00
  0.78	-5.77111419e-01	-3.72079250e-01	+3.04940446e+00	+3.20849421e+00	+2.000000e+00
  0.79	-5.80830444e-01	-3.29667365e-01	+3.08149392e+00	+3.31702248e+00	+2.000000e+00
  0.80	-5.84125410e-01	-2.88691984e-01	+3.11466825e+00	+3.41533565e+00	+2.000000e+00
  0.81	-5.87010685e-01	-2.49217151e-01	+3.14882525e+00	+3.50295448e+00	+2.000000e+00
